Timestamp,Please enter your age:,Please Choose your gender:,Marital Status:,What is your profession?,What is your monthly income?,How would you describe your family?,What is the total number of members in your family?,"What is the approximate ""average"" age of your family?",The number of Adults in your family,The number of Children in your family,How would you describe your area of residence?,How many people earn for your family?,What is your family's monthly income?,Has any of your family members contracted COVID-19?,Have you lost any family member(s) due to COVID-19?,How would you describe the ease of access to the nearest medical support from your area of residence?,How would you describe the feeling of love in your family?,The lockdown period has allowed your family members to enjoy the time they spend together.,Your family is satisfied with how things are during lockdown.,Your family is thankful with what they have during the lockdown period.,Do you sense fear within the family?,Do you sense anxiety within the family?,How often do fights break out between family members?,Your family members understand and respect each others personal privacy.,What are your Family Reactions whenever a difficult situation arises?,What is the general reaction of the family when there is some form of good news?
8/9/2021 15:48:42,23,Male,Unmarried,Student,"10,000 - 39,000 BDT",Nuclear Family,5,45,5,0,Urban Area,2,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Neutral,I do feel it most of the time.,I haven't paid attention.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:49:30,23,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,6,30,4,2,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Agree,Agree,Disagree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 15:50:05,27,Male,Unmarried,Unemployed,I do not have any income at the moment,Nuclear Family,3,60,2,0,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It has slightly increased during the lockdown period,Neutral,Strongly Agree,Disagree,I do feel it most of the time.,I do feel it sometimes.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 15:52:03,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,35,3,3,Urban Area,1,"40,000 - 69,999 BDT",Yes,Yes,Close & Manageable.,It is the same as before the lockdown period,Disagree,Disagree,Agree,I don't feel like there is.,I do feel it sometimes.,Problems are often resolved before fights break out.,Neutral,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/9/2021 16:05:28,23,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,35,5,0,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has slightly decreased during the lockdown period,Disagree,Neutral,Agree,I haven't paid attention.,I do feel it sometimes.,There are fights sometimes.,Neutral,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/9/2021 16:06:56,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,80,5,1,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Neutral,Neutral,Agree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:14:12,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,18,15,2,Urban Area,1,"Less than 10,000 BDT",No,Yes,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Disagree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:16:41,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,38,4,0,Urban Area,1,"Less than 10,000 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Disagree,Neutral,Disagree,I do feel it sometimes.,I do feel it most of the time.,There are fights sometimes.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:16:44,25,Male,Unmarried,Employed,"40,000 - 69,999 BDT",Nuclear Family,3,45,3,0,Urban Area,2,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Agree,Agree,Strongly Agree,I do feel it sometimes.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 16:19:13,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,35,5,0,Rural Area,2,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:19:53,24,Male,Married,Student,I do not have any income at the moment,Nuclear Family,4,28,4,0,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Neutral,Neutral,Not at all.,Not at all.,I haven't paid attention.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:20:11,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,25,4,1,Suburban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Agree,Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is almost no reaction at all.
8/9/2021 16:31:25,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,36.45,3,1,Suburban Area,2,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Agree,Agree,I haven't paid attention.,Not at all.,I haven't paid attention.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:34:21,22,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,29,3,2,Urban Area,1,"10,000 - 39,000 BDT",No,No,Far but Manageable,It has slightly increased during the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 16:38:36,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,50,4,0,Rural Area,2,"10,000 - 39,000 BDT",Asymptomatic,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Disagree,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 16:43:20,22,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,40,3,1,Urban Area,2,"10,000 - 39,000 BDT",Asymptomatic,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Neutral,Disagree,Disagree,I haven't paid attention.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/9/2021 16:45:01,20,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,36,5,0,Rural Area,2,"10,000 - 39,000 BDT",No,No,Far but Hard to Manage,It is the same as before the lockdown period,Agree,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:47:48,22,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,13,35,8,4,Urban Area,3,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Neutral,Disagree,Neutral,I do feel it sometimes.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 16:48:12,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,35,6,0,Rural Area,2,Decline to respond,No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Neutral,Neutral,Not at all.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:06:51,25,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,20,4,2,Urban Area,2,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Neutral,Neutral,I do feel it most of the time.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:12:34,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,8,45,4,4,Rural Area,1,"10,000 - 39,000 BDT",Yes,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Neutral,Disagree,Disagree,I haven't paid attention.,I do feel it sometimes.,Fights are very often.,Disagree,Things are always out of control. No one is responsible at times like these.,There is almost no reaction at all.
8/9/2021 17:15:46,23,Female,Unmarried,Student,I do not have any income at the moment,Extended Family,11,60,4,5,Urban Area,5,Decline to respond,Yes,Yes,Close & Manageable.,It has slightly decreased during the lockdown period,Strongly Agree,Strongly Agree,Strongly Agree,Not at all.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:20:44,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,40,4,1,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Strongly Disagree,Strongly Disagree,Strongly Disagree,I do feel it sometimes.,I do feel it most of the time.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:27:39,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,41,4,0,Urban Area,2,"70,000 - 100,000 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Neutral,Disagree,Strongly Agree,I don't feel like there is.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,There is very little celebration on such occasions.
8/9/2021 17:35:16,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,33,3,2,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Disagree,Strongly Disagree,Neutral,I do feel it sometimes.,I haven't paid attention.,There are fights sometimes.,Disagree,Things get a bit uneasy at times but we try our best to deal with the situation,There is almost no reaction at all.
8/9/2021 17:47:38,22,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,5,30,4,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:48:44,20,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,31,4,1,Suburban Area,1,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Strongly Agree,Neutral,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:49:42,25,Male,Unmarried,Student,"70,000 - 100,000 BDT",Nuclear Family,5,40,5,0,Urban Area,4,"70,000 - 100,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Disagree,Neutral,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:52:08,24,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,22,5,0,Suburban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Neutral,I do feel it sometimes.,I do feel it sometimes.,I haven't paid attention.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 17:52:15,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,22,3,1,Suburban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Disagree,Strongly Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Things get a bit uneasy at times but we try our best to deal with the situation,There is almost no reaction at all.
8/9/2021 17:54:41,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,22,3,0,Urban Area,1,"10,000 - 39,000 BDT",Yes,No,Far but Manageable,It is the same as before the lockdown period,Strongly Agree,Strongly Agree,Neutral,Not at all.,I do feel it sometimes.,There are fights sometimes.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:55:39,20,Male,Unmarried,Student,Decline to respond,Extended Family,7,30,7,0,Urban Area,1,Decline to respond,No,Yes,Close but Hard to Manage,It has increased a lot during the lockdown period,Strongly Agree,Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 17:57:04,23,Male,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,35,3,1,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Agree,Agree,Agree,I don't feel like there is.,I haven't paid attention.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,There is very little celebration on such occasions.
8/9/2021 18:07:58,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,09,70,6,1,Rural Area,01,"Less than 10,000 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,Not at all.,There are fights sometimes.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
8/9/2021 18:16:32,22,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,30,5,1,Urban Area,3,"40,000 - 69,999 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Neutral,Agree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 18:17:12,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,29,4,2,Urban Area,1,"40,000 - 69,999 BDT",Asymptomatic,No,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Disagree,Agree,I do feel it sometimes.,I do feel it most of the time.,Fights are very often.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 18:34:31,29,Male,Married,Employed,"10,000 - 39,000 BDT",Nuclear Family,4,50,4,0,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Neutral,Agree,I haven't paid attention.,I do feel it sometimes.,Problems are often resolved before fights break out.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 18:42:49,19,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,7,20,3,4,Urban Area,1,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It is the same as before the lockdown period,Agree,Disagree,Neutral,I do feel it most of the time.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 18:59:37,20,Female,Unmarried,Student,I do not have any income at the moment,Extended Family,7,20,3,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close but Hard to Manage,It has slightly increased during the lockdown period,Neutral,Neutral,Disagree,I do feel it sometimes.,I do feel it sometimes.,There hasn't been any major issue that would cause a fight.,Neutral,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:00:38,20,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,35,2,2,Urban Area,30000,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Neutral,Neutral,Neutral,Not at all.,Not at all.,I haven't paid attention.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:09:55,23,Female,Unmarried,Student,Decline to respond,Nuclear Family,4,50,3,0,Urban Area,2,Decline to respond,Yes,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Strongly Agree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Neutral,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:13:48,22,Male,Unmarried,Student,"Less than 10,000 BDT",Extended Family,5,40,5,0,Urban Area,2,"40,000 - 69,999 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I do feel it sometimes.,I haven't paid attention.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:25:08,21,Male,Unmarried,Student,I do not have any income at the moment,Extended Family,4,30,4,0,Urban Area,1,"10,000 - 39,000 BDT",No,No,Far but Manageable,It is the same as before the lockdown period,Disagree,Neutral,Disagree,Not at all.,Not at all.,Problems are often resolved before fights break out.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:28:42,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,4,0,Urban Area,2,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Neutral,Neutral,Not at all.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:30:01,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,35,2,0,Urban Area,2,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Agree,Agree,I don't feel like there is.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:31:38,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,23,5,0,Urban Area,1,"10,000 - 39,000 BDT",Yes,No,Close & Manageable.,It is the same as before the lockdown period,Disagree,Strongly Disagree,Strongly Disagree,I haven't paid attention.,I do feel it most of the time.,I haven't paid attention.,Agree,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:36:24,23,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,6,25,2,0,Urban Area,1,"70,000 - 100,000 BDT",Yes,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Disagree,Disagree,Not at all.,Not at all.,Fights are very often.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:37:36,19,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,3,1,Urban Area,1,"40,000 - 69,999 BDT",Yes,No,Close but Hard to Manage,It has slightly decreased during the lockdown period,Neutral,Disagree,Disagree,I do feel it sometimes.,I do feel it sometimes.,There are fights sometimes.,Neutral,Usually leave it to the elders of the family to deal with it.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:39:24,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,41.8,4,1,Urban Area,1,"40,000 - 69,999 BDT",No,No,Close & Manageable.,It has increased a lot during the lockdown period,Strongly Agree,Agree,Strongly Agree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Strongly Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:50:03,23,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,5,40,5,0,Urban Area,1,Decline to respond,No,No,Close & Manageable.,It is the same as before the lockdown period,Neutral,Disagree,Disagree,Not at all.,Not at all.,There hasn't been any major issue that would cause a fight.,Neutral,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 19:54:37,21,Female,Unmarried,Student,"Less than 10,000 BDT",Nuclear Family,4,35,4,0,Urban Area,2,"10,000 - 39,000 BDT",No,No,Close but Hard to Manage,It has increased a lot during the lockdown period,Agree,Disagree,Disagree,I do feel it most of the time.,I do feel it sometimes.,There are fights sometimes.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 20:34:12,21,Male,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,30,2,1,Urban Area,1,Decline to respond,No,No,Close but Hard to Manage,It is the same as before the lockdown period,Neutral,Neutral,Neutral,I don't feel like there is.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Agree,All of us come together and work towards a solution and try to find some form of entertainment while doing so.,We all celebrate together and hope for an even better thing in the future.
8/9/2021 20:57:48,21,Female,Unmarried,Student,I do not have any income at the moment,Nuclear Family,4,25,3,1,Urban Area,1,Decline to respond,Yes,Yes,Close & Manageable.,It has increased a lot during the lockdown period,Agree,Agree,Agree,I do feel it sometimes.,I do feel it sometimes.,Problems are often resolved before fights break out.,Agree,Things get a bit uneasy at times but we try our best to deal with the situation,We all celebrate together and hope for an even better thing in the future.
8/9/2021 21:24:59,20,Female,Unmarried,Student,I do not have any income at the moment,Extended Family,7,32,7,0,Rural Area,1,"10,000 - 39,000 BDT",No,No,Close & Manageable.,It has slightly increased during the lockdown period,Agree,Neutral,Neutral,Not at all.,I don't feel like there is.,There hasn't been any major issue that would cause a fight.,Strongly Agree,Usually leave it to the elders of the family to deal with it.,There is very little celebration on such occasions.
